x coord, y coord, z coord, T
0.825000, 0.050000, 0.000000, 203.115508 
0.850000, 0.050000, 0.000000, 196.468924 
0.875000, 0.050000, 0.000000, 187.342809 
0.900000, 0.050000, 0.000000, 174.312052 
0.925000, 0.050000, 0.000000, 154.835485 
0.950000, 0.050000, 0.000000, 124.344986 
0.975000, 0.050000, 0.000000, 75.260015 
1.000000, 0.050000, 0.000000, 0.000000 
0.000000, 0.075000, 0.000000, 0.000000 
0.025000, 0.075000, 0.000000, 51.858831 
0.050000, 0.075000, 0.000000, 93.199479 
0.075000, 0.075000, 0.000000, 123.526288 
0.100000, 0.075000, 0.000000, 145.355901 
0.125000, 0.075000, 0.000000, 161.204881 
0.150000, 0.075000, 0.000000, 172.932689 
0.175000, 0.075000, 0.000000, 181.797567 
0.200000, 0.075000, 0.000000, 188.632531 
0.225000, 0.075000, 0.000000, 193.991809 
0.250000, 0.075000, 0.000000, 198.250129 
0.275000, 0.075000, 0.000000, 201.665921 
0.300000, 0.075000, 0.000000, 204.420964 
0.325000, 0.075000, 0.000000, 206.645384 
0.350000, 0.075000, 0.000000, 208.433639 
0.375000, 0.075000, 0.000000, 209.854908 
0.400000, 0.075000, 0.000000, 210.959953 
0.425000, 0.075000, 0.000000, 211.785703 
0.450000, 0.075000, 0.000000, 212.358326 
0.475000, 0.075000, 0.000000, 212.695256 
0.500000, 0.075000, 0.000000, 212.806482 
0.525000, 0.075000, 0.000000, 212.695259 
0.550000, 0.075000, 0.000000, 212.358330 
0.575000, 0.075000, 0.000000, 211.785707 
0.600000, 0.075000, 0.000000, 210.959955 
0.625000, 0.075000, 0.000000, 209.854908 
0.650000, 0.075000, 0.000000, 208.433639 
0.675000, 0.075000, 0.000000, 206.645384 
0.700000, 0.075000, 0.000000, 204.420963 
0.725000, 0.075000, 0.000000, 201.665921 
0.750000, 0.075000, 0.000000, 198.250129 
0.775000, 0.075000, 0.000000, 193.991809 
0.800000, 0.075000, 0.000000, 188.632532 
0.825000, 0.075000, 0.000000, 181.797569 
0.850000, 0.075000, 0.000000, 172.932691 
0.875000, 0.075000, 0.000000, 161.204883 
0.900000, 0.075000, 0.000000, 145.355903 
0.925000, 0.075000, 0.000000, 123.526289 
0.950000, 0.075000, 0.000000, 93.199481 
0.975000, 0.075000, 0.000000, 51.858832 
1.000000, 0.075000, 0.000000, 0.000000 
0.000000, 0.100000, 0.000000, 0.000000 
0.025000, 0.100000, 0.000000, 38.975830 
0.050000, 0.100000, 0.000000, 73.067815 
0.075000, 0.100000, 0.000000, 100.714287 
0.100000, 0.100000, 0.000000, 122.380385 
0.125000, 0.100000, 0.000000, 139.188127 
0.150000, 0.100000, 0.000000, 152.259384 
0.175000, 0.100000, 0.000000, 162.509544 
0.200000, 0.100000, 0.000000, 170.629662 
0.225000, 0.100000, 0.000000, 177.125896 
0.250000, 0.100000, 0.000000, 182.365903 
0.275000, 0.100000, 0.000000, 186.617339 
