x coord, y coord, z coord, T
0.825000, 0.050000, 0.000000, 203.115500 
0.850000, 0.050000, 0.000000, 196.468917 
0.875000, 0.050000, 0.000000, 187.342803 
0.900000, 0.050000, 0.000000, 174.312047 
0.925000, 0.050000, 0.000000, 154.835482 
0.950000, 0.050000, 0.000000, 124.344983 
0.975000, 0.050000, 0.000000, 75.260014 
1.000000, 0.050000, 0.000000, 0.000000 
0.000000, 0.075000, 0.000000, 0.000000 
0.025000, 0.075000, 0.000000, 51.858830 
0.050000, 0.075000, 0.000000, 93.199477 
0.075000, 0.075000, 0.000000, 123.526283 
0.100000, 0.075000, 0.000000, 145.355895 
0.125000, 0.075000, 0.000000, 161.204873 
0.150000, 0.075000, 0.000000, 172.932679 
0.175000, 0.075000, 0.000000, 181.797556 
0.200000, 0.075000, 0.000000, 188.632517 
0.225000, 0.075000, 0.000000, 193.991793 
0.250000, 0.075000, 0.000000, 198.250111 
0.275000, 0.075000, 0.000000, 201.665902 
0.300000, 0.075000, 0.000000, 204.420944 
0.325000, 0.075000, 0.000000, 206.645363 
0.350000, 0.075000, 0.000000, 208.433617 
0.375000, 0.075000, 0.000000, 209.854886 
0.400000, 0.075000, 0.000000, 210.959932 
0.425000, 0.075000, 0.000000, 211.785684 
0.450000, 0.075000, 0.000000, 212.358306 
0.475000, 0.075000, 0.000000, 212.695234 
0.500000, 0.075000, 0.000000, 212.806459 
0.525000, 0.075000, 0.000000, 212.695234 
0.550000, 0.075000, 0.000000, 212.358306 
0.575000, 0.075000, 0.000000, 211.785684 
0.600000, 0.075000, 0.000000, 210.959933 
0.625000, 0.075000, 0.000000, 209.854887 
0.650000, 0.075000, 0.000000, 208.433618 
0.675000, 0.075000, 0.000000, 206.645363 
0.700000, 0.075000, 0.000000, 204.420944 
0.725000, 0.075000, 0.000000, 201.665903 
0.750000, 0.075000, 0.000000, 198.250112 
0.775000, 0.075000, 0.000000, 193.991794 
0.800000, 0.075000, 0.000000, 188.632518 
0.825000, 0.075000, 0.000000, 181.797557 
0.850000, 0.075000, 0.000000, 172.932680 
0.875000, 0.075000, 0.000000, 161.204874 
0.900000, 0.075000, 0.000000, 145.355895 
0.925000, 0.075000, 0.000000, 123.526284 
0.950000, 0.075000, 0.000000, 93.199477 
0.975000, 0.075000, 0.000000, 51.858830 
1.000000, 0.075000, 0.000000, 0.000000 
0.000000, 0.100000, 0.000000, 0.000000 
0.025000, 0.100000, 0.000000, 38.975828 
0.050000, 0.100000, 0.000000, 73.067811 
0.075000, 0.100000, 0.000000, 100.714280 
0.100000, 0.100000, 0.000000, 122.380377 
0.125000, 0.100000, 0.000000, 139.188117 
0.150000, 0.100000, 0.000000, 152.259371 
0.175000, 0.100000, 0.000000, 162.509528 
0.200000, 0.100000, 0.000000, 170.629644 
0.225000, 0.100000, 0.000000, 177.125875 
0.250000, 0.100000, 0.000000, 182.365879 
0.275000, 0.100000, 0.000000, 186.617313 
0.300000, 0.100000, 0.000000, 190.076376 
0.325000, 0.100000, 0.000000, 192.888046 
0.350000, 0.100000, 0.000000, 195.160174 
0.375000, 0.100000, 0.000000, 196.973269 
0.400000, 0.100000, 0.000000, 198.387282 
0.425000, 0.100000, 0.000000, 199.446325 
0.450000, 0.100000, 0.000000, 200.181917 
0.475000, 0.100000, 0.000000, 200.615186 
0.500000, 0.100000, 0.000000, 200.758287 
0.525000, 0.100000, 0.000000, 200.615186 
0.550000, 0.100000, 0.000000, 200.181917 
0.575000, 0.100000, 0.000000, 199.446326 
0.600000, 0.100000, 0.000000, 198.387283 
0.625000, 0.100000, 0.000000, 196.973269 
0.650000, 0.100000, 0.000000, 195.160175 
0.675000, 0.100000, 0.000000, 192.888047 
0.700000, 0.100000, 0.000000, 190.076377 
0.725000, 0.100000, 0.000000, 186.617314 
0.750000, 0.100000, 0.000000, 182.365880 
0.775000, 0.100000, 0.000000, 177.125876 
0.800000, 0.100000, 0.000000, 170.629645 
0.825000, 0.100000, 0.000000, 162.509529 
0.850000, 0.100000, 0.000000, 152.259372 
0.875000, 0.100000, 0.000000, 139.188117 
0.900000, 0.100000, 0.000000, 122.380377 
0.925000, 0.100000, 0.000000, 100.714281 
0.950000, 0.100000, 0.000000, 73.067811 
0.975000, 0.100000, 0.000000, 38.975828 
1.000000, 0.100000, 0.000000, 0.000000 
0.000000, 0.125000, 0.000000, 0.000000 
0.025000, 0.125000, 0.000000, 30.976671 
0.050000, 0.125000, 0.000000, 59.381658 
0.075000, 0.125000, 0.000000, 83.882652 
0.100000, 0.125000, 0.000000, 104.263214 
0.125000, 0.125000, 0.000000, 120.907846 
0.150000, 0.125000, 0.000000, 134.407160 
0.175000, 0.125000, 0.000000, 145.351542 
0.200000, 0.125000, 0.000000, 154.250655 
0.225000, 0.125000, 0.000000, 161.516184 
0.250000, 0.125000, 0.000000, 167.470218 
0.275000, 0.125000, 0.000000, 172.361095 
0.300000, 0.125000, 0.000000, 176.379203 
0.325000, 0.125000, 0.000000, 179.670271 
0.350000, 0.125000, 0.000000, 182.345764 
0.375000, 0.125000, 0.000000, 184.490732 
0.400000, 0.125000, 0.000000, 186.169604 
0.425000, 0.125000, 0.000000, 187.430419 
0.450000, 0.125000, 0.000000, 188.307850 
0.475000, 0.125000, 0.000000, 188.825306 
0.500000, 0.125000, 0.000000, 188.996317 
0.525000, 0.125000, 0.000000, 188.825307 
0.550000, 0.125000, 0.000000, 188.307850 
0.575000, 0.125000, 0.000000, 187.430420 
0.600000, 0.125000, 0.000000, 186.169604 
0.625000, 0.125000, 0.000000, 184.490732 
0.650000, 0.125000, 0.000000, 182.345765 
0.675000, 0.125000, 0.000000, 179.670272 
0.700000, 0.125000, 0.000000, 176.379204 
0.725000, 0.125000, 0.000000, 172.361096 
0.750000, 0.125000, 0.000000, 167.470219 
0.775000, 0.125000, 0.000000, 161.516185 
0.800000, 0.125000, 0.000000, 154.250656 
0.825000, 0.125000, 0.000000, 145.351543 
0.850000, 0.125000, 0.000000, 134.407161 
0.875000, 0.125000, 0.000000, 120.907847 
0.900000, 0.125000, 0.000000, 104.263215 
0.925000, 0.125000, 0.000000, 83.882652 
0.950000, 0.125000, 0.000000, 59.381658 
0.975000, 0.125000, 0.000000, 30.976671 
1.000000, 0.125000, 0.000000, 0.000000 
0.000000, 0.150000, 0.000000, 0.000000 
0.025000, 0.150000, 0.000000, 25.549197 
0.050000, 0.150000, 0.000000, 49.599498 
0.075000, 0.150000, 0.000000, 71.171455 
0.100000, 0.150000, 0.000000, 89.881983 
0.125000, 0.150000, 0.000000, 105.772892 
0.150000, 0.150000, 0.000000, 119.109883 
0.175000, 0.150000, 0.000000, 130.238823 
0.200000, 0.150000, 0.000000, 139.505252 
0.225000, 0.150000, 0.000000, 147.217989 
0.250000, 0.150000, 0.000000, 153.637713 
0.275000, 0.150000, 0.000000, 158.977645 
0.300000, 0.150000, 0.000000, 163.409070 
0.325000, 0.150000, 0.000000, 167.068071 
